"table","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13"
"cff_types","`newspaper-article`",NA,"``newspaper-article``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`pamphlet`",NA,"``pamphlet``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`patent`",NA,"``patent``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`personal-communication`",NA,"``personal-communication``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`proceedings`","Conference proceedings","``proceedings``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`report`",NA,"``report``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`serial`",NA,"``serial``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`slides`","Slides, i.e., a published slide deck","``slides``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`software`","Software","``software``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`software-code`","Software source code","``software-code``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`software-container`","A software container (e.g., a docker container)","``software-container``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`software-executable`","An executable software, i.e., a binary/artifact","``software-executable``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`software-virtual-machine`","A virtual machine/vm image","``software-virtual-machine``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`sound-recording`",NA,"``sound-recording``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`standard`",NA,"``standard``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`statute`",NA,"``statute``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`thesis`","An academic thesis","``thesis``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`unpublished`",NA,"``unpublished``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`video`","A video recording","``video``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cff_types","`website`",NA,"``website``",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
